date,value,source
2025-10-19,107474,CoinGecko - Bitcoin
2025-10-20,110989,CoinGecko - Bitcoin
2025-10-21,107560,CoinGecko - Bitcoin
2025-10-22,108285,CoinGecko - Bitcoin
2025-10-23,109880,CoinGecko - Bitcoin
2025-10-24,111159,CoinGecko - Bitcoin
2025-10-25,111642,CoinGecko - Bitcoin
2025-10-26,112385,CoinGecko - Bitcoin
2025-10-27,115323,CoinGecko - Bitcoin
2025-10-28,114292,CoinGecko - Bitcoin
2025-10-31,108760,CoinGecko - Bitcoin
2025-10-29,112950.34863259472,CoinGecko - Bitcoin
2025-10-30,110046.66925837283,CoinGecko - Bitcoin
2025-11-01,110104,CoinGecko - Bitcoin
